name,debtor_ref,address,tax_id,curr_code,sales_type,dimension_id,dimension2_id,credit_status,payment_terms,discount,pymt_discount,credit_limit,notes,inactive,BankAccountName,Website,SkypeName
FRESH FROM SOURCE B.V,FRESH FROM SOURCE B.V,1076-1430  AALSMEER  NETHERLANDS. ,1,KES,1,1,0,1,1,0,0,1000,,0,,,
GARDENS CITY TRADING LLC,GARDENS CITY TRADING LLC, MAZOON STREET SEEB  PO BOX 9 P.C:317,1,KES,1,1,0,1,1,0,0,1000,,0,,,
GLOBAL FLOWERS SERVICE,GLOBAL FLOWERS SERVICE,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
GOLDEN FLOWERS,GOLDEN FLOWERS, MOSCOW REGION LENINSKY DISTRICT SOVHOZ LENINA 19/117  TRUCK:AVANTGARDE. ,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Golden Flowers B.V,Golden Flowers B.V,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
GRANAT,GRANAT," 423800 NAB,CHENLY, RUSSIA",1,KES,1,1,0,1,1,0,0,1000,,0,,,
GREEN FLOWERS GARDEN SRL,GREEN FLOWERS GARDEN SRL,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
GREENWINGS,GREENWINGS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Gulf Flowers FZCO,Gulf Flowers FZCO,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Hams Flowers Ltd,Hams Flowers Ltd,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
HOUSE OF FLOWERS,HOUSE OF FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
INTERNATIONAL PROCUREMENT AND LOGISTICS LTD,INTERNATIONAL PROCUREMENT AND LOGISTICS LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
ITALIAN COFFEE AND TEA HOUSE,ITALIAN COFFEE AND TEA HOUSE," FOB FOC EBRIL, IRAQ.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
JUNIFLOR FLOWER EXPORT B.V,JUNIFLOR FLOWER EXPORT B.V, JUPITER 322 2675LW  HONSOLERDIJK  THE NETHERLANDS.,1,KES,1,1,0,1,1,0,0,1000,,0,,,
JZ FLOWERS INTERNATIONAL LTD,JZ FLOWERS INTERNATIONAL LTD," FOB COD DIANHUS HOUSE,COMMON LANE, BROUGH,EAST YORKSHIRE, HU15 2PE,",1,KES,1,1,0,1,1,0,0,1000,,0,,,
KAZA FLOWERS,KAZA FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
KIMMAN ROSES,KIMMAN ROSES,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
KURDESTAN FLOWERS SHORAS 06 ERBIL IRAQ,KURDESTAN FLOWERS SHORAS 06 ERBIL IRAQ,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
Lina Agricultural Company ( Uniflora Services),Lina Agricultural Company ( Uniflora Services),#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
LOTUS FLOWERS Po Box 68292 Dubai,LOTUS FLOWERS Po Box 68292 Dubai, UAE,1,KES,1,1,0,1,1,0,0,1000,,0,,,
LULISHTFA,LULISHTFA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
LYNCH GROUP AUSTRALIA PTY LTD,LYNCH GROUP AUSTRALIA PTY LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
MAGNATE FLOWERS,MAGNATE FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
MAJD FLOWERS TRADING EST,MAJD FLOWERS TRADING EST," MEDINA, SAUDI ARABIA.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
MARKET FLOWERS EST,MARKET FLOWERS EST," HINDAWIA ROAD,AL DAHAB STREET PO.BOX:2454-11451, JEDDAH, SAUDI ARABIA,",1,KES,1,1,0,1,1,0,0,1000,,0,,,
MARQUIS FLOWERS BAHRAIN BASHIRAH BLD NO 94 SHOP 332 MANAMA,MARQUIS FLOWERS BAHRAIN BASHIRAH BLD NO 94 SHOP 332 MANAMA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
MERYBERY TRADING COMPANY,MERYBERY TRADING COMPANY," PO.BOX:37574-00100 NAIROBI,KENYA.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
MM Flowers Europe BV,MM Flowers Europe BV, PO Box 1041 INCO TERMS 1430 BA Aalsmeer FOB The Netherlands,1,KES,1,1,0,1,1,0,0,1000,,0,,,
MODESTO FLOWERS LLC,MODESTO FLOWERS LLC,"ITN:6316247245,KPP:631601001,ADDRESS:443110,SMARSKAYA OBLAST, ULITSA NOVO-SADOVAYA,23",1,KES,1,1,0,1,1,0,0,1000,,0,,,
MULTIFLORA COMPANTY LTD,MULTIFLORA COMPANTY LTD," AL SHARFIA, JEDDAH, KINGDOM OF SAUDI ARABIA",1,KES,1,1,0,1,1,0,0,1000,,0,,,
NASSIM FLOWERS,NASSIM FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
NATIONAL FLOWERS,NATIONAL FLOWERS," PO BOX 23741,ALAIN,UAE.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
NO NAME,NO NAME,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
NOORA OMAIR SAAD AL SHAHRANI TRADIND EST,NOORA OMAIR SAAD AL SHAHRANI TRADIND EST," C.R 2055104893 DAMMAM, SAUDI ARABIA.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
OOO ALTIR,OOO ALTIR,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
OOO MAGISTRALEX LLC,OOO MAGISTRALEX LLC,"UL.REPISCHEVA 14,SANKY PETERBURG 197349, RUSSIAN FEDERATION, RUSSIA.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
ORANGE FLOWERS SRL Via Salvo d' acquisto 10/12 51017 Castellare di PESCIA (PT) ITALY.,ORANGE FLOWERS SRL Via Salvo d' acquisto 10/12 51017 Castellare di PESCIA (PT) ITALY.,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
ORIENT FLOWER PO.BOX 119 CLUSTER,ORIENT FLOWER PO.BOX 119 CLUSTER," DUBAI, UNITED ARAB EMIRATES.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
P.J DAVE FLOWERS LTD,P.J DAVE FLOWERS LTD," PO.BOX:18436-00500, NAIROBI,KENYA",1,KES,1,1,0,1,1,0,0,1000,,0,,,
Pegion Blooms Ltd-P051310825O,Pegion Blooms Ltd-P051310825O," P.O. Box 128 - 00521 Embakasi, Nairobi. info@pigeonblooms.com",1,KES,1,1,0,1,1,0,0,1000,,0,,,
PHOENIX FLOWERS,PHOENIX FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
REAL FLOWERS,REAL FLOWERS,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
ROSA PARK FLOWERS,ROSA PARK FLOWERS," PO.BOX:37104-00200 NAIROBI, KENYA.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
ROYAL AL EMARAT ( True Flowers),ROYAL AL EMARAT ( True Flowers),#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
SABAH AWADH ALSAHAFI,SABAH AWADH ALSAHAFI,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
SAEED ALI AHMAD ARASMARI EST,SAEED ALI AHMAD ARASMARI EST,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
SELA FLOWER,SELA FLOWER," OM SELIM, IMAM TURKI IBN ABDALLAH, RIYATH, SAUDI ARABIA. DESCRIPTION",1,KES,1,1,0,1,1,0,0,1000,,0,,,
SHAUNI EXPRESS FLOWERS HOLLAND,SHAUNI EXPRESS FLOWERS HOLLAND,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
SLIKWEID BV,SLIKWEID BV," LEGMEERDJIK 313 LOC 007-21 AALSMEER, THE NETHERLANDS.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
SPINNEYS DUBAI LLC,SPINNEYS DUBAI LLC,"SPINNEYS SHOPPING CENTRE 1ST FLOOR, MEYDEN,NAD AL SHIBA FIRST, DUBAI,UAE.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
SQ FLORA,SQ FLORA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
STEADY MARKET,STEADY MARKET,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
STEM LTD,STEM LTD,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
SUNIL MAXFLORA FLOWERS TRADING,SUNIL MAXFLORA FLOWERS TRADING," ALAIN-UAE, PO.BOX:17008",1,KES,1,1,0,1,1,0,0,1000,,0,,,
TAHA FLORA TRADING,TAHA FLORA TRADING,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
TARIQ AAMER SALEH ABDULLAZIZ,TARIQ AAMER SALEH ABDULLAZIZ,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
THE FLOWER HUB UK LIMITED,THE FLOWER HUB UK LIMITED," 930 HIGH ROAD, LONDON N12 9RT, UNITED KINGDOM",1,KES,1,1,0,1,1,0,0,1000,,0,,,
UAB MAORI Group,UAB MAORI Group,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
UNIQUE FLORAL LTD 14TH UNIQUE STREET,UNIQUE FLORAL LTD 14TH UNIQUE STREET," ACCRA, GHANA.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
UNITED FLOWERS FROPU P.O BOX 7551 JEDDAH 21472 SAUDI ARABIA,UNITED FLOWERS FROPU P.O BOX 7551 JEDDAH 21472 SAUDI ARABIA,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
YING FLOWERS,YING FLOWERS," DUBAI, UAE.",1,KES,1,1,0,1,1,0,0,1000,,0,,,
,,#VALUE!,1,KES,1,1,0,1,1,0,0,1000,,0,,,
